,Date,High,Low,Open,Close,Volume,Adj Close,Signal,MACD,SIGNAL LINE,plusDI,minusDI,,,,,,MACD-SL,DMI-SIGNAL,k-mean,Signal
0,27/12/2005,38.79999924,37.20000076,37.99000168,37.45999908,476400,35.31509018,wait or hold,1.560148708,1.390197297,42.80220524,16.78025378,,,,,,0.169951411,26.02195146,3,wait or hold
1,28/12/2005,38.15000153,36.34999847,38,37.45000076,327800,35.30567169,wait or hold,1.586900083,1.429537874,38.00872061,20.18950179,,,,,,0.157362209,17.81921883,1,wait or hold
2,29/12/2005,37.95000076,37.18999863,37.45000076,37.38000107,189800,35.23967743,wait or hold,1.5842046,1.460471232,36.16699927,19.21121481,,,,,,0.123733368,16.95578446,1,wait or hold
3,30/12/2005,37.58000183,36.91999817,37.54999924,37.13999939,172800,35.0134201,wait or hold,1.544980843,1.477373159,34.5990878,20.15185415,,,,,,0.067607683,14.44723365,1,wait or hold
4,3/1/2006,38.27999878,36.84999847,37.20000076,37.45000076,1013200,35.30567169,wait or hold,1.521238219,1.486146173,35.91746566,18.30066653,,,,,,0.035092045,17.61679913,1,wait or hold
5,4/1/2006,40.59999847,37.70000076,37.70000076,39.20000076,1928400,36.95545959,wait or hold,1.624248941,1.513766733,42.66898602,15.02618251,,,,,,0.110482208,27.64280351,3,wait or hold
6,5/1/2006,39.70999908,38.90999985,39.18000031,39.70999908,317900,37.43626404,wait or hold,1.726938759,1.556401145,40.67829995,14.32514846,,,,,,0.170537614,26.35315149,3,wait or hold
7,6/1/2006,39.70999908,38.13999939,39.70999908,39,349200,36.76691055,wait or hold,1.731281622,1.591377245,37.02733556,17.44129571,,,,,,0.139904377,19.58603986,3,wait or hold
8,9/1/2006,38.88000107,38.5,38.79999924,38.61000061,220800,36.39924622,wait or hold,1.683945011,1.6098908,35.92158933,16.92044681,,,,,,0.074054211,19.00114253,1,wait or hold
9,10/1/2006,38.70999908,37.40000153,38.61000061,37.79999924,191300,35.63562393,wait or hold,1.563261448,1.600564929,33.1300707,22.1309261,,,,,,-0.037303481,10.9991446,1,wait or hold
10,11/1/2006,37.79999924,34.65000153,37.79999924,34.79999924,974300,32.80741119,wait or hold,1.212320309,1.522916,27.57994499,33.04867265,,,,,,-0.310595691,-5.468727662,0,wait or hold
11,12/1/2006,35.34999847,32.95999908,33,34.99000168,2008900,32.98653412,wait or hold,0.938667986,1.406066391,24.25924276,37.58337209,,,,,,-0.467398405,-13.32412933,0,wait or hold
12,13/1/2006,35.41999817,33.31000137,35,34.04999924,734200,32.10034943,wait or hold,0.638788854,1.252610877,22.10820651,33.72298195,,,,,,-0.613822023,-11.61477544,0,wait or hold
13,17/1/2006,33.54999924,29.62000084,33.54999924,30,2351200,28.28224564,wait or hold,0.074290385,1.01694677,17.94143967,43.06603649,,,,,,-0.942656386,-25.12459681,4,wait or hold
14,18/1/2006,31.15999985,28.87999916,29.10000038,31,1773700,29.22498703,wait or hold,-0.28922509,0.755712391,16.2444939,42.06253229,,,,,,-1.044937481,-25.81803839,4,wait or hold
15,19/1/2006,31.23999977,29.34000015,30.79999924,30.38999939,857200,28.6499157,wait or hold,-0.61928307,0.480713293,15.30295019,38.77153943,,,,,,-1.099996362,-23.46858924,4,wait or hold
16,20/1/2006,30.28000069,28.60000038,30.28000069,29.23999977,788700,27.56575966,wait or hold,-0.962366445,0.19209734,14.17752674,38.96048974,,,,,,-1.154463785,-24.782963,4,wait or hold
17,23/1/2006,30.04999924,29.14999962,29.48999977,29.42000008,530800,27.73545265,wait or hold,-1.205854305,-0.087492993,13.63458055,37.46844885,,,,,,-1.118361312,-23.8338683,4,wait or hold
18,24/1/2006,31.46999931,29.75,29.89999962,31.02000046,648900,29.24384308,wait or hold,-1.255451279,-0.321084653,18.41203973,34.25090532,,,,,,-0.934366627,-15.83886558,4,wait or hold
19,25/1/2006,31.51000023,30.75,31.14999962,31,836300,29.22498703,wait or hold,-1.281590736,-0.513185871,17.97617864,33.1155409,,,,,,-0.768404865,-15.13936226,4,wait or hold
20,26/1/2006,31.25,30,31.04999924,30.25,313700,28.51792526,wait or hold,-1.347204027,-0.679989504,16.97925298,34.60650334,,,,,,-0.667214524,-17.62725036,4,wait or hold
21,27/1/2006,30.20000076,28.29999924,30.20000076,28.88999939,518600,27.2358036,buy,-1.491598199,-0.842311244,15.5321287,39.08724516,,,,,,-0.649286955,-23.55511646,4,buy
22,30/1/2006,29.57999992,28.72999954,28.72999954,29,917300,27.33950043,buy,-1.578959913,-0.989640978,14.93461177,37.58356907,,,,,,-0.589318935,-22.6489573,4,buy
23,31/1/2006,30.40999985,29.01000023,29.17000008,29.34000015,490600,27.66003227,buy,-1.602316105,-1.112176004,17.75953143,35.16679188,,,,,,-0.490140101,-17.40726044,4,buy
24,1/2/2006,29.62000084,28.35000038,29.10000038,29.37999916,816800,27.69774628,buy,-1.599164287,-1.209573661,16.71682538,36.15326018,,,,,,-0.389590626,-19.4364348,4,buy
25,2/2/2006,30.20000076,29,29.37999916,30.01000023,767200,28.29167175,buy,-1.528260927,-1.273311114,18.49922561,34.11509534,,,,,,-0.254949813,-15.61586973,4,buy
26,3/2/2006,30.01000023,29.20000076,30.01000023,29.54999924,397600,27.85800743,buy,-1.49195365,-1.317039622,17.77095867,32.77207177,,,,,,-0.174914029,-15.0011131,4,buy
27,6/2/2006,29.70000076,28.65999985,29.20000076,29.27000046,550900,27.59404182,buy,-1.468820672,-1.347395832,16.85355147,33.7607246,,,,,,-0.121424841,-16.90717313,4,buy
28,7/2/2006,29.45000076,28.62000084,29.35000038,29,489800,27.33950043,buy,-1.455477572,-1.36901218,16.1375437,32.53116854,,,,,,-0.086465392,-16.39362484,4,buy
29,8/2/2006,30.76000023,29.01000023,29.10000038,29.98999977,869700,28.27282524,buy,-1.349517897,-1.365113323,21.29289304,29.65421957,,,,,,0.015595426,-8.361326532,0,buy
