Date,High,Low,Open,Close,Volume,Adj Close,Signal,MACD,SIGNAL LINE,plusDI,minusDI,adx,MACD_n,SIGNAL LINE_n,plusDI_n,minusDI_n,Close_n
1/14/2003,22.27000046,21.25,21.96999931,22.04000092,14524700,14.69010448,buy,-1.1704500426809368,-1.0752922327029506,15.505746915717378,33.79484874984973,28.28557659614634,-0.7470033889022826,-0.7286927385240023,-0.3876670672083301,0.30331111359762386,-0.9070943804931211
1/15/2003,22.23999977,21.78000069,22.23999977,21.87000084,13219100,14.57679749,buy,-1.1315318629606281,-1.0865401593609731,14.91509432883742,32.50751864277296,28.914972654890693,-0.7312650025775898,-0.7339937452333068,-0.4109923563898902,0.2536647415176354,-0.9110037763228178
1/16/2003,22.31999969,21.94000053,22.07999992,22.17000008,15111400,14.77675629,buy,-1.0642735082895598,-1.082086828954592,15.025544929270163,31.253296745043173,29.354272049861276,-0.704065940931238,-0.731894946487483,-0.4066305839155163,0.20529520004318225,-0.9041048632295523
1/17/2003,22.70000076,22.03000069,22.5,22.43000031,23525200,14.95004845,buy,-0.9787572963667763,-1.0614209217238746,17.454460056707095,29.43248274377949,29.082295925438792,-0.669483460714088,-0.7221553636990621,-0.3107110044479897,0.13507481997263482,-0.8981257847792234
1/21/2003,22.65999985,21.70999908,22.47999954,21.79999924,15390300,14.53013611,buy,-0.9507424712025667,-1.0392852310085134,16.028532978111514,29.77983559701102,29.149217152251445,-0.6581543557964966,-0.7117230903952949,-0.3670218751676989,0.14847061402715034,-0.9126135635835775
1/22/2003,22.14999962,21.53000069,21.64999962,21.57999992,12664500,14.38350391,buy,-0.9354682427303942,-1.0185218328943177,15.158190984786932,29.739231099924673,29.386868890455254,-0.6519775070786407,-0.7019375613766816,-0.40139229719257896,0.14690468625199182,-0.9176727636977428
1/23/2003,22.06999969,21.12999916,21.79999924,21.95999908,11995700,14.63677597,buy,-0.8825839167999199,-0.9913342491950751,13.923739844055405,30.78278434084531,29.98141248287575,-0.6305912562828347,-0.6891243942943136,-0.4501416474496728,0.1871497113618832,-0.908934137625377
1/24/2003,21.92000008,21.01000023,21.85000038,21.26000023,13705600,14.17022038,buy,-0.8868289995508079,-0.9704331989707897,12.790087930594563,29.304930021027044,30.642189884829257,-0.632307954052204,-0.679273991563298,-0.49491036479734973,0.13015570101567708,-0.9250316158441079
1/27/2003,21.39999962,20.48999977,21.02000046,20.60000038,16422300,13.73031998,buy,-0.9326064736744826,-0.9628678538259807,11.799084703714124,31.461876492872154,31.700003695990073,-0.6508202169048024,-0.6757085393168405,-0.5340457844337042,0.21333915684349525,-0.9402092596498665
1/28/2003,20.87999916,20.37999916,20.78000069,20.53000069,13693000,13.68366146,buy,-0.9634158903644838,-0.9629774611346729,11.28184137887302,31.04709606916837,32.77103391406046,-0.6632794456197735,-0.6757601958662145,-0.5544720898408833,0.19734299305186753,-0.9418190029874347
1/29/2003,21.06999969,20.10000038,20.10000038,20.96999931,15072300,13.97692585,buy,-0.9415233710992652,-0.9586866430965387,10.335267727480451,30.864086298419096,33.9893894054596,-0.654426181456522,-0.6737379871605478,-0.5918529540592332,0.19028515208089591,-0.9317006032190328
1/30/2003,21.34000015,20.56999969,20.96999931,20.71999931,16044200,13.81029892,buy,-0.9335557763158597,-0.9536604697113034,11.990327626280118,28.798476975062282,34.50498671698669,-0.6512041118304237,-0.6713692147060921,-0.5264934659103196,0.11062414790215191,-0.9374497120278297
1/31/2003,21.04000092,20.62000084,20.64999962,20.89999962,14137800,13.93026924,buy,-0.9023313205194619,-0.9433946398253868,11.536780457161985,27.70914329594534,34.983755649119,-0.6385770426397862,-0.666531057883385,-0.5444043649940622,0.06861358289213348,-0.933310346556601
2/3/2003,21.48999977,20.95000076,21.0,21.37999916,12549800,14.25020695,buy,-0.8293366056251514,-0.9205830329008149,15.04063061002468,26.20933796189367,34.418892732404295,-0.6090582154252654,-0.6557802337507501,-0.40603483969308174,0.010773023386412062,-0.9222720682220711
2/4/2003,21.38999939,20.79999924,21.14999962,21.11000061,11141500,14.07023907,buy,-0.7842104930566656,-0.8933085248511359,14.212197023028567,26.166080671065362,34.07502459521774,-0.5908093610842235,-0.6429261003126373,-0.4387502690565168,0.009104789618065823,-0.9284810723907406
2/5/2003,21.37999916,20.95000076,21.27000046,21.30999947,11048800,14.20354271,buy,-0.7239788166751602,-0.8594425831356304,13.623255785598163,25.081780762743584,33.75571846783023,-0.5664518654693571,-0.6269655068887136,-0.462007975835683,-0.03271164611890265,-0.9238818115596392
2/6/2003,22.04000092,21.27000046,21.27000046,21.62999916,17750200,14.41683483,buy,-0.6430338593266143,-0.8161608382917158,18.957991935177617,23.225733575393516,32.06724096991867,-0.5337179858546737,-0.6065673635878455,-0.25133546519187067,-0.10429080732599971,-0.9165229594132741
2/7/2003,21.96999931,21.29999924,21.89999962,21.30999947,11844100,14.20354271,buy,-0.5977926133947591,-0.7724871932460405,17.728644275576915,21.719640455877062,30.499369007572227,-0.5154225719529177,-0.5859845226389508,-0.2998832753628744,-0.16237385765441514,-0.9238818115596392
2/10/2003,21.70000076,21.01000023,21.45000076,21.57999992,8863200,14.38350391,buy,-0.5340125754083864,-0.7247922696206002,16.539169230224566,23.082251701661967,29.500414262117012,-0.4896301303524362,-0.5635065035492819,-0.3468564877442021,-0.10982424001032176,-0.9176727636977428
2/11/2003,21.70999908,21.14999962,21.53000069,21.28000069,10129700,14.18354702,buy,-0.5018708482437688,-0.6802079853019276,15.721916445256332,21.80365945455206,28.550879517997835,-0.47663211957970597,-0.5424944897365624,-0.3791303793130434,-0.15913363321852514,-0.9245716765610439
2/12/2003,21.47999954,21.14999962,21.22999954,21.20000076,7826100,14.13022423,buy,-0.47734634005484367,-0.6396356562209834,15.188009388706087,21.063219974292885,27.669168684172888,-0.4667144875867846,-0.5233732600904928,-0.4002147472930333,-0.18768896159745518,-0.9264113897701084
