Date,High,Low,Open,Close,Volume,Adj Close,Signal,MACD,SIGNAL LINE,plusDI,minusDI,adx,MACD_n,SIGNAL LINE_n,plusDI_n,minusDI_n,Close_n
12/30/2002,13.06151676,12.55364799,12.91130161,12.88268948,2297300,11.15703773,wait or hold,0.36403347,0.387477087,29.5007547,20.53384759,27.50533044,0.494392949,0.480137233,0.114666392,-0.203875062,-0.714057517
12/31/2002,13.01144505,12.72532177,12.83977127,12.84692383,1627900,11.12606335,wait or hold,0.344715972,0.37892486,28.40872034,19.77374273,26.82076482,0.485214996,0.475549516,0.073404601,-0.233345352,-0.716054337
1/2/2003,13.72675228,12.9756794,13.03290462,13.69098759,3381000,11.85706329,wait or hold,0.392593632,0.381658615,34.18441554,17.61449328,27.18992025,0.507962193,0.477015999,0.291635401,-0.317062362,-0.66892969
1/3/2003,13.90557957,13.46208858,13.59084415,13.6266098,2622500,11.80131054,wait or hold,0.420515969,0.389430088,34.52790936,16.62879028,27.74698361,0.521228398,0.481184892,0.304614087,-0.355279396,-0.672523946
1/6/2003,14.38483524,13.59084415,13.59084415,14.27753925,5549500,12.36504841,wait or hold,0.489263454,0.409396767,37.04360998,15.0093891,28.78865321,0.553891075,0.491895725,0.399668161,-0.418065761,-0.636182117
1/7/2003,14.52074432,14.07725334,14.24892712,14.14878368,3382800,12.25353622,wait or hold,0.527318377,0.432981094,36.68953906,14.17879839,29.89324594,0.571971382,0.504547193,0.386289827,-0.450268882,-0.643370627
1/8/2003,14.09155941,13.42632294,14.09155941,13.46208858,3193800,11.65882683,wait or hold,0.496572112,0.445699299,33.44284469,20.89705981,29.40712904,0.557363497,0.511369689,0.26361564,-0.189792835,-0.681709276
1/9/2003,14.12732506,13.55507851,13.55507851,13.99856949,4507700,12.12344551,wait or hold,0.509449649,0.458449371,31.17869905,19.21127609,29.00302059,0.563481755,0.518209278,0.178066403,-0.255152941,-0.651757186
1/10/2003,14.30615139,13.72675228,13.87696743,14.23462105,4188900,12.327878,wait or hold,0.532490986,0.473257695,31.15656909,17.8598829,28.86901814,0.574428944,0.526152987,0.177230237,-0.307548276,-0.638578269
1/13/2003,14.4635191,13.87696743,14.29184532,14.03433514,1796700,12.15442085,wait or hold,0.528547616,0.48431568,30.84834837,16.5877673,28.95428172,0.572555407,0.532084882,0.165584323,-0.356869912,-0.649760366
1/14/2003,14.34907055,13.95565128,14.03433514,14.24177361,4009600,12.33407211,wait or hold,0.535927935,0.494638132,29.33887496,15.77609358,29.03345505,0.576061876,0.53762221,0.108549874,-0.388339596,-0.638178937
1/15/2003,14.30615139,13.3977108,14.24892712,13.50500679,3806400,11.69599819,wait or hold,0.476996328,0.491109771,26.15619021,20.72726676,27.78675213,0.54806283,0.535729473,-0.011705752,-0.19637594,-0.679313123
